Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Moonstruck,1987,Norman Jewison,"['Cher', 'Nicolas Cage', 'Vincent Gardenia', 'Olympia Dukakis', 'Danny Aiello', 'Julie Bovasso', 'John Mahoney', 'Louis Guss', 'Feodor Chaliapin Jr.', 'Anita Gillette', 'Leonardo Cimino', 'Paula Trueman', 'Nada Despotovich', 'Joe Grifasi', 'Gina DeAngeles', 'Robin Bartlett', 'Helen Hanft', 'David S. Howard', 'Robert Weil', 'Amy Aquino', 'Tony Azito', 'Frank Gio', 'Ann McDonough', 'John Christopher Jones', 'Lisa Howard', 'Cynthia Dale', 'Anthony Messuri', 'Martha Collins', 'John Fanning', 'Antonia Minella', 'Nicholas Pasco', 'Al Therrien', 'Lou Pitoscia', 'Gilberto Godoy', 'Louis Di Bianco', 'Betti Orsatti', 'Michael Barbaro', 'Antonio Pariselli', 'Corrado Gianna', 'Tommy Hollis', 'Matt Myers', 'Michael Dunster', 'Stella Bruno', 'Mimi Cecchini', 'Mimi Lizio', 'Tim Koetting', 'Gerard Flannery', 'Robert Payson', 'Catherine Scorsese', 'Jack K. Tsirakis', 'Curt Hayward', 'Stephany Hitchcock', 'David Hummel', 'Cathy Ladman', 'Peter Austin Noto', 'Helen Proimos', 'Charles Scorsese']",nan,3.74,https://letterboxd.com//film/moonstruck/
Pickup on South Street,1953,Samuel Fuller,"['Richard Widmark', 'Jean Peters', 'Thelma Ritter', 'Murvyn Vye', 'Richard Kiley', 'Willis Bouchey', 'Parley Baer', 'Chet Brandenburg', 'Frank Kumagai', 'Virginia Carroll', 'Milburn Stone', 'Harry Carter', 'Clancy Cooper', 'Henry Slate', 'Heinie Conklin', 'George Eldredge', 'John Gallaudet', 'Alan Reed', 'Robert Haines', 'Jay Loft-Lyn', 'Ray Montgomery', ""Jerry O'Sullivan"", 'Ray Stevens', 'Ralph Moody', 'Roger Moore', 'Vic Perry', 'George E. Stone', 'King Mojave', 'Harry Tenbrook', 'Stuart Randall', 'Wilson Wood', 'Maurice Samuels']",nan,3.92,https://letterboxd.com//film/pickup-on-south-street/
Murder on the Orient Express,1974,Sidney Lumet,"['Albert Finney', 'Lauren Bacall', 'Martin Balsam', 'Ingrid Bergman', 'Jacqueline Bisset', 'Jean-Pierre Cassel', 'Sean Connery', 'John Gielgud', 'Wendy Hiller', 'Anthony Perkins', 'Vanessa Redgrave', 'Richard Widmark', 'Michael York', 'Colin Blakely', 'Rachel Roberts', 'George Coulouris', 'Denis Quilley', 'Vernon Dobtcheff', 'Jeremy Lloyd', 'John Moffatt']",nan,3.53,https://letterboxd.com//film/murder-on-the-orient-express/
I Am Not Your Negro,2016,Raoul Peck,"['Samuel L. Jackson', 'James Baldwin', 'Martin Luther King Jr.', 'Malcolm X', 'Medgar Evers', 'Robert F. Kennedy', 'Harry Belafonte', 'Paul Weiss', 'Dick Cavett', 'H. Rap Brown', 'Bob Dylan', 'Leander Perez', 'Sidney Poitier', 'Ray Charles']",nan,4.15,https://letterboxd.com//film/i-am-not-your-negro/
Much Ado About Nothing,1993,Kenneth Branagh,"['Emma Thompson', 'Kenneth Branagh', 'Robert Sean Leonard', 'Kate Beckinsale', 'Denzel Washington', 'Richard Briers', 'Imelda Staunton', 'Keanu Reeves', 'Michael Keaton', 'Jimmy Yuill', 'Brian Blessed', 'Phyllida Law', 'Patrick Doyle', 'Ben Elton', 'Andy Hockley', 'Chris Barnes', 'Conrad Nelson', 'Alex Lowe', 'Richard Clifford', 'Gerard Horan', 'Alex Scott', 'Edward Jewesbury']",nan,3.57,https://letterboxd.com//film/much-ado-about-nothing/
A History of Violence,2005,David Cronenberg,"['Viggo Mortensen', 'Maria Bello', 'Ed Harris', 'William Hurt', 'Ashton Holmes', 'Peter MacNeill', 'Heidi Hayes', 'Stephen McHattie', 'Greg Bryk', 'Kyle Schmid', 'Sumela Kay', 'Gerry Quigley', 'Deborah Drakeford', 'Bill MacDonald', 'Aidan Devine', 'Morgan Kelly', 'Ian Matthews', 'Jason Barbeck', 'Bruce Beaton', 'Neven Pajkic']",nan,3.77,https://letterboxd.com//film/a-history-of-violence/
White Men Can't Jump,1992,Ron Shelton,"['Wesley Snipes', 'Woody Harrelson', 'Rosie Perez', 'Tyra Ferrell', 'Cylk Cozart', 'Kadeem Hardison', 'Ernest Harden Jr.', 'John Marshall Jones', 'Marques Johnson', 'David Roberson', 'Kevin Benton', 'Nigel Miguel', 'Duane Martin', 'Bill Henderson', 'Sonny Craver', 'Jon Hendricks', 'Eloy Casados', 'Frank Rossi', 'Freeman Williams', 'Louis Price', 'Alex Trebek', 'Reggie Leon', 'Sarah Stavrou', 'Reynaldo Rey', 'Lanei Chapman', 'Irene Nettles', 'Torri Whitehead', 'Lisa McDowell', 'Dion B. Vines', 'David Maxwell', 'Bill Caplan', 'Richard James Baker', 'Amy Golden', 'Jeanette Srubar', 'Zandra Hill', 'Fred P. Gregory', 'Carl E. Hodge', 'Ruben Martinez', 'Gary Lazer', 'Donna Howell', 'Don Fullilove', 'Johnny Gilbert', 'Leonard A. Oakland', 'Allan Malamud', 'Jeanne McCarthy', 'John Charles Sheehan', 'Gregg Daniel', 'Carl A. McGee', 'Chick Hearn', 'Stu Lantz', 'Ronald Beals', 'Joe Metcalf', 'Mahcoe Moore', 'Mark Hill', 'Eric Kizzie', 'Chalmer Maddox', 'Leroy Michaux', 'Joseph Duffy', 'Pete Duffy', 'Gary Moeller', 'Daniel Porto', 'Lester Hawkins', 'Jeffrey Todd']",nan,3.49,https://letterboxd.com//film/white-men-cant-jump/
"Synecdoche, New York",2008,Charlie Kaufman,"['Philip Seymour Hoffman', 'Samantha Morton', 'Jennifer Jason Leigh', 'Michelle Williams', 'Catherine Keener', 'Emily Watson', 'Tom Noonan', 'Sadie Goldstein', 'Hope Davis', 'Dianne Wiest', 'Stanley Krajewski', 'Kristen Bush', 'Alice Drummond', 'Amy Wright', ""Deirdre O'Connell"", 'Elizabeth Marvel', 'Charles Techman', 'Tom Greer', 'Josh Pais', 'Lynn Cohen', 'Jerry Adler', 'Daisy Tahan', 'Frank Girardeau', 'Peter Friedman', 'Daniel London', 'Robert Seay', 'Stephen Adly Guirgis', 'Joe Lisi', 'Michael Medeiros', 'Christopher Evan Welch', 'William Ryall', 'Rosemary Murphy', 'John Rothman', 'Paul Sparks', 'Tim Guinee', 'Robin Weigert', 'Michael Higgins', 'Barbara Haas', 'Greg McFadden', 'Alvin Epstein', 'Gerald Emerick', 'Chris McGinn', 'Dan Ziskie', 'Portia', 'Nicholas Wyman', 'Amy Spanger', 'Timothy Doyle', 'Cliff Carpenter', 'Raymond Angelic Sr.', 'Erica Fae', 'Mark Lotito', 'Laura Odeh', 'Deanna Storey', 'Frank Wood', 'Amanda R. Phillips', 'Kat Peters']",nan,4.19,https://letterboxd.com//film/synecdoche-new-york/
Grosse Pointe Blank,1997,George Armitage,"['John Cusack', 'Minnie Driver', 'Dan Aykroyd', 'Joan Cusack', 'Alan Arkin', 'Hank Azaria', 'Jeremy Piven', 'Mitchell Ryan', 'Michael Cudlitz', 'Steve Pink', 'K. Todd Freeman', 'Doug Dearth', 'Ann Cusack', 'Barbara Harris', 'Jenna Elfman', 'Belita Moreno', 'Bill Cusack', ""Patrick O'Neill"", 'Benny Urquidez', 'David Barrett', 'Lance Gilbert', 'Carlos Jacott', 'Bobby Bass']",nan,3.63,https://letterboxd.com//film/grosse-pointe-blank/
John Wick: Chapter 3 – Parabellum,2019,Chad Stahelski,"['Keanu Reeves', 'Halle Berry', 'Ian McShane', 'Laurence Fishburne', 'Mark Dacascos', 'Asia Kate Dillon', 'Lance Reddick', 'Anjelica Huston', 'Saïd Taghmaoui', 'Jerome Flynn', 'Randall Duk Kim', 'Margaret Daly', 'Robin Lord Taylor', 'Susan Blommaert', 'Unity Phelan', 'Jason Mantzoukas', 'Andrea Sooch', 'Sergio Delavicci', 'Cecep Arif Rahman', 'Yayan Ruhian', 'Tiler Peck', 'Baily Jones', 'India Bradley', 'Olivia MacKinnon', 'Sarah Villwock', 'Eliza Blutt', 'Harrison Coll', 'Boban Marjanović', 'Maxim Beloserkovsky', 'Charles Askegard', 'Stefaniya Makarova', 'Jeff G. Waxman', 'Aïssam Bouali', 'Mustapha Adidou', 'Alexey Golousenko']",nan,3.68,https://letterboxd.com//film/john-wick-chapter-3-parabellum/
