Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Dementia 13,1963,Francis Ford Coppola,"['William Campbell', 'Luana Anders', 'Bart Patton', 'Mary Mitchel', 'Patrick Magee', 'Eithne Dunne', 'Peter Read', 'Karl Schanzer', 'Ron Perry', ""Derry O'Donavan"", 'Barbara Dowling']",2.88,nan,"['Thriller', 'Mystery', 'Horror']",75,"['Ireland', 'USA']",English,['English'],"A widow deceives her late husband's mother and brothers into thinking he's still alive when she attends the yearly memorial to his drowned sister, hoping to secure his inheritance, but her cunning is no match for the demented, axe-wielding thing roaming the grounds of the family's Irish estate.","['The Filmgroup', 'Roger Corman Productions', 'American International Pictures']",16790,10289,2532,4,55,274,424,1696,2420,4123,1671,711,89,159,11622,https://letterboxd.com/film/dementia-13/
Best in Show,2000,Christopher Guest,"['Bob Balaban', 'Jennifer Coolidge', 'Christopher Guest', 'John Michael Higgins', 'Michael Hitchcock', 'Eugene Levy', 'Jane Lynch', 'Michael McKean', ""Catherine O'Hara"", 'Parker Posey', 'Fred Willard', 'Ed Begley Jr.', 'Patrick Cranshaw', 'Linda Kash', 'Don Lake', 'Larry Miller', 'Jim Piddock', 'Jay Brazeau', 'Lewis Arquette', 'Dany Canino', 'Will Sasso', 'Stephen E. Miller', 'Colin Cunningham', 'Jehshua Barnes', 'Scott Williamson', 'Deborah Theaker', 'Rachael Harris', 'Fulvio Cecere', 'Cody Greg', 'Teryl Rothery', 'Tony Alcantar', 'Camille Sullivan', 'Dave Cameron', 'Lynda Boyd', 'Madeleine Kipling', 'Merrilyn Gann', 'Andrew Johnston', 'Malcolm Stewart', 'Jay-Lyn Green', 'Earlene Luke', 'Carmen Aguirre', 'Harold Pybus', 'Hiro Kanagawa', 'Cleo A. Laxton', 'Corrine Koslo', 'Andrew Wheeler', 'Don Emslie', 'Don S. Davis', 'Steven M. Porter', 'Melanie Angel', 'Doane Gregory', 'Carrie Aizley']",3.87,nan,['Comedy'],90,['USA'],English,['English'],"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",['Castle Rock Entertainment'],147802,30203,43864,1500,126,354,327,1523,2286,10709,17145,32654,11910,13819,90853,https://letterboxd.com/film/best-in-show/
Manhunter,1986,Michael Mann,"['William Petersen', 'Tom Noonan', 'Joan Allen', 'Brian Cox', 'Dennis Farina', 'Stephen Lang', 'Kim Greist', 'David Seaman', 'Benjamin Hendrickson', 'Chris Elliott', 'Michael Talbott', 'Dan Butler', 'Paul Perri', 'Patricia Charbonneau', 'Alexandra Neil', 'Frankie Faison', 'Garcelle Beauvais', 'Joanne Camp', 'David Allen Brooks', 'Kin Shriner', 'John Posey', 'Kristin Holby', 'Bill Smitrovich', 'Peter Maloney', 'Michael D. Roberts', 'Marshall Bell', 'Annie McEnroe', 'Michele Shay', 'Robin Moseley', 'Bill Cwikowski', 'Norman Snow', 'Jim Zubiena', 'Elisabeth Ryall', 'Gary Chavaras', 'Chris Cianciolo', 'Ken Colquitt', 'Ron Fitzgerald', 'Dennis Quick', 'David Meeks', 'Sherman Michaels', 'Robin Trapp', 'LA Winters', 'Daniel T. Snow', 'Cynthia Chvatal', 'King White', 'Mickey Lloyd', 'Dawn Carmen', 'David Fitzsimmons', 'Robert A. Burton', 'Steve Hogan', 'Mickey Pugh', 'Greg Kelly', 'Brian Kelly', 'Ryan Langhorne', 'Hannah Caggiano', 'Lindsey Fonora', 'Jason Frair', 'Bryant Arrants', 'Christopher Arrants', 'Melvin Clark', 'Renee Ayala', 'Dana Dewey', 'Stephen Hawkins', 'Leonard Johnson', 'Keith Pyles', 'Michael Russell', 'Michael Vitug', 'Pat Williams', 'Charles Yarbaugh', 'Gusmano Cesaretti', 'Melody Gold']",3.86,nan,"['Horror', 'Thriller', 'Crime']",120,['USA'],English,['English'],"FBI Agent Will Graham, who retired after catching Hannibal Lecter, returns to duty to engage in a risky cat-and-mouse game with Lecter to capture a new killer.","['DEG', 'Red Dragon Productions S.A.']",164523,59183,50131,1100,122,420,466,2341,3972,16002,24864,40644,16941,13034,118806,https://letterboxd.com/film/manhunter/
Juror #2,2024,Clint Eastwood,"['Nicholas Hoult', 'Toni Collette', 'J.K. Simmons', 'Chris Messina', 'Zoey Deutch', 'Cedric Yarbrough', 'Kiefer Sutherland', 'Gabriel Basso', 'Amy Aquino', 'Leslie Bibb', 'Francesca Eastwood', 'Adrienne C. Moore', 'Chikako Fukuyama', 'Phil Biedron', 'Hedy Nasser', 'Onix Serrano', 'Drew Scheid', 'Jason Coviello', 'Zele Avradopoulos', 'Rebecca Koon', 'KateLynn E. Newberry', 'Rachel Walters', 'Megan Mieduch', 'Melanie Harrison', 'Bria Brimmer', 'Scott Alan Smith', 'Javier Vazquez Jr.', 'Kurt Yue', 'Tom Thon', 'Ra Val Davis', 'Gabriel Butler', 'Kevin Saunders', 'Luciano Antonino', 'Lou Bosch', 'Kellen Boyle', 'Vincent Minutella', 'Ella Fraley', 'Grant Roberts']",3.51,nan,"['Drama', 'Thriller', 'Crime']",114,['USA'],English,['English'],"While serving as a juror in a high profile murder trial, family man Justin Kemp finds himself struggling with a serious moral dilemma…one he could use to sway the jury verdict and potentially convict—or free—the accused killer.","['Warner Bros. Pictures', 'Malpaso Productions', 'Dichotomy Films']",55530,18310,14375,63,103,342,459,1924,3474,9618,14273,13798,2966,1383,48340,https://letterboxd.com/film/juror-2/
Miami Vice,2006,Michael Mann,"['Jamie Foxx', 'Colin Farrell', 'Gong Li', 'Naomie Harris', 'John Ortiz', 'Ciarán Hinds', 'Justin Theroux', 'Barry Shabaka Henley', 'Elizabeth Rodriguez', 'John Hawkes', 'Eddie Marsan', 'Luis Tosar', 'Domenick Lombardozzi', 'Isaach de Bankolé', 'Tom Towles', 'Mario Ernesto Sánchez', 'Frankie J. Allison', 'Tony Curran', 'Stephan Jones', 'Rob Larson', 'Don Frye', 'Maxim Danilov', 'Pasha D. Lychnikoff', 'Ana Cristina Oliveira', 'Everlayn Borges', 'Juanita Billue', 'Patrick Michael Buckley', 'Marc Macaulay', 'Mike Pniewski', 'Vivienne Sendaydiego', 'Richard Katanga', 'Dexter Fletcher', 'Oleg Taktarov', 'Andrew Rasputin', 'Ilan Krigsfeld', 'Juliana Guedes', 'James Maurice Rowan Jr.', 'Deborah Demere', 'Abdel Tornes', 'Maria Leon', 'Kenny Acevedo', 'Julia Yarbrough', 'Ryan M. Phillips', 'Amir Aviram', 'Julia Perevedentseva', 'Gilbert Quintana', 'Eboni Nichols', 'Donald Dowd', 'Paul Aldanée', 'Alexander Alonso', 'Jay Amor', 'Ryan Anthony', 'Chris Astoyan', 'Ashley Avis', 'Brad Batchelor', 'Eric Bendross', 'Arthur Bergman', 'Robert Berson', 'Tara Cardinal', 'Michelle Chin', 'Hailey Hansard', 'Stephane Kay', 'Claudine Oriol', 'Danny Pardo', 'Pablo Patlis', 'Nathan Russell', 'Taso N. Stavrakis', 'Lorenzo Toledo', 'Jon Tomlinson', 'Joe Vida', 'David Yuzuk', 'Julia Zgoda']",3.42,nan,"['Action', 'Crime', 'Thriller']",132,"['Germany', 'USA']",English,"['English', 'Spanish']","A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.","['Universal Pictures', 'Forward Pass', 'Motion Picture ETA Produktionsgesellschaft']",141624,39128,31094,1100,568,1948,2075,7930,9226,19879,17471,18414,7451,8848,93810,https://letterboxd.com/film/miami-vice/
State of Play,2009,Kevin Macdonald,"['Russell Crowe', 'Ben Affleck', 'Rachel McAdams', 'Helen Mirren', 'Robin Wright', 'Jason Bateman', 'Jeff Daniels', 'Michael Berresse', 'Harry Lennix', 'Josh Mostel', 'Michael Weston', 'Barry Shabaka Henley', 'Viola Davis', 'David Harbour', 'Sarah Lord', 'Tuck Milligan', 'Steve Park', 'Brennan Brown', 'Maria Christina Thayer', 'Wendy Makkena', 'Zoe Lister-Jones', 'Michael Jace', 'Rob Benedict', 'Ladell Preston', 'Dan Brown', 'Katy Mixon', 'Shane Edelman', 'Maurice Burnice Harcum', 'Cornell Womack', 'Nat Benchley', 'Gregg Binkley', 'Trula M. Marcus', 'Carolyn Barrett', 'Wil Love', 'David E. Goodman', 'John Badila', 'Brigid Cleary', 'Joy Spears', 'Brandi Oglesby', 'R.B. Brenner', 'Lucía Navarro', 'Chris Matthews', 'Lou Dobbs', 'James Vance III', 'Sharon Dugan', 'Noel Werking', 'Rose Coleman', 'Lee von Ernst', 'Richard Ruyle', 'Stuart Brazell', 'Herbert Gordon', 'Keith Anthony Garvin', 'Julie Carey', 'Yang Eun', ""Denae D'Arcy"", 'Natasha Chughtai', 'Greg Graham', 'Eric Hatch', 'Josh Rhodes', 'Stacey Walker']",3.32,nan,"['Mystery', 'Thriller', 'Crime']",127,"['France', 'UK', 'USA']",English,"['English', 'Cantonese', 'French']","When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend.","['Andell Entertainment', 'Universal Pictures', 'Working Title Films', 'StudioCanal', 'Relativity Media']",64499,8541,7864,13,69,261,413,2192,4025,13219,12448,7593,1037,736,41993,https://letterboxd.com/film/state-of-play/
Touch,2024,Baltasar Kormákur,"['Egill Ólafsson', 'Kōki', 'Pálmi Kormákur Baltasarsson', 'Masahiro Motoki', 'Yōko Narahashi', 'Ruth Sheen', 'Masatoshi Nakamura', 'Meg Kubota', 'María Ellingsen', 'Benedikt Erlingsson', 'Sigurður Ingvarsson', 'Starkadur Petursson', 'Tatsuya Tagawa', 'Charles Nishikawa', 'Eiji Mihara', 'Akshay Khanna', 'Theodór Júlíusson', 'Kieran Buckeridge', 'Brandy Row', 'Masaya Mimura', 'Rie Shibata', 'Eugene Nomura', 'Katla M. Þorgeirsdóttir']",3.62,nan,"['Drama', 'Romance']",121,"['Iceland', 'UK']",Icelandic,"['Icelandic', 'English', 'Vietnamese', 'Japanese']","Soon after the break of the pandemic and realizing that his clock is ticking, Kristofer gets the urge to embark on a journey to try to find out what really happened when his Japanese girlfriend mysteriously vanished without a trace from London fifty years earlier.","['RVK Studios', 'Good Chaos']",9175,2899,2693,32,26,46,95,266,469,1301,1688,2250,819,774,7734,https://letterboxd.com/film/touch-2024/
Gladiator II,2024,Ridley Scott,"['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas', 'Alexander Karim', 'Yuval Gonen', 'Richard McCabe', 'Tim McInnerny', 'Alec Utgoff', 'Rory McCann', 'Yann Gael', 'Riana Duce', 'Alfie Tempest', 'Amira Ghazalla', 'Alexander Simkin', 'David Ganly', 'Richard Katz', 'Amal Ayouch', 'Hadrian Howard', 'Chidi Ajufo', 'Lee Charles', 'Christopher Edward Hallaways', 'Chi Lewis-Parry', 'Ángel Gómez De La Torre', 'Brahim Ait Ben Azzouz', 'Maxime Rauf Ruijselaar', 'Dean Fagan', 'Tom Moutchi', 'Russell Crowe', 'May Calamawy']",3.47,nan,"['Action', 'Adventure', 'Drama']",148,['USA'],English,['English'],"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","['Paramount Pictures', 'Red Wagon Entertainment', 'Parkes+MacDonald Image Nation', 'Scott Free Productions']",173480,42026,46637,322,1055,1492,1860,7411,11264,28825,37903,43067,12752,10746,156375,https://letterboxd.com/film/gladiator-ii/
The Above,2015,Kirsten Johnson,nan,3.66,nan,['Documentary'],8,['USA'],English,['English'],"A U.S. military surveillance balloon floats on a tether high above Kabul, Afghanistan. Its capacities are both highly classified and deeply mysterious.",['Field of Vision'],1693,709,499,0,1,1,3,13,30,147,190,301,61,68,815,https://letterboxd.com/film/the-above/
Dick Johnson Is Dead,2020,Kirsten Johnson,"['Richard Johnson', 'Kirsten Johnson', 'Isla Sierck', 'Jed Sierck', 'Felix Torres', 'Viva Torres', 'Raymond Damazo', 'Michael Hilow', 'Michael Melton', 'Joanne Reiner Tucker', 'Ken Tucker', 'Laurie McEwan', 'Lyn Schildwachter', 'Julie Tilton', 'Ira Sachs', 'Boris Torres', 'Joyce Fogel', 'Lolita Hirst', 'Kirk Johnson', 'Marta Bida', 'Simona Vuletic', 'Chase DeForest', 'Catherine Joy Johnson', 'Brett Eidman', 'Michael Fatica', 'Mary Page Nance', 'Fredi Bernstein', 'Ana Hoffman', 'Vasthy Mompoint', 'Nicole Tio', 'Adi Gonzalez', 'Dexter Buell', 'Kevin Loreque', 'Morgan Green', 'Ahsan Ali', 'Samantha Everette Clowes']",3.92,nan,['Documentary'],89,['USA'],English,['English'],"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all.",['Big Mouth Productions'],46979,22278,15035,66,77,157,155,599,956,3987,7074,14144,5137,3204,35490,https://letterboxd.com/film/dick-johnson-is-dead/
