Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
The Last Duel,2021,Ridley Scott,"['Jodie Comer', 'Matt Damon', 'Adam Driver', 'Ben Affleck', 'Harriet Walter', 'Marton Csokas', 'Alex Lawther', 'William Houston', 'Oliver Cotton', 'Zeljko Ivanek', 'Nathaniel Parker', 'Tallulah Haddon', 'Aurélien Lorgnier', 'Bryony Hannah', 'Thomas Silberstein', 'Adam Goodwin', 'Ian Pirie', 'Daniel Horn', 'Michael McElhatton', 'Sam Hazeldine', 'Clive Russell', 'Julian Firth', 'Sylvain Lablée', 'Zoé Bruneau', 'Chloé Lindau', 'Adam Nagaitis', 'Elise Caprice', 'Fiona Maherault Valinski', 'Tassia Martin', 'Camille Mutin', ""Caoimhe O'Malley"", 'John Kavanagh', 'Simone Collins', 'Clare Dunne', 'Christian Erickson', 'Alex Blanchard', 'Gin Minelli', 'Cécilia Steiner', 'Serena Kennedy', 'Quentin Ogier', 'Paul Bandey', 'Martin Vaughan Lewis', 'Brontis Jodorowsky', 'Peter Hudson', 'Alexander Pattie', 'Dimitri Michelsen', 'Stephen Brennan', 'Colin David Reese', 'Bosco Hogan', 'Kyle Hixon', 'Florian Hutter', 'Sam Chemoul', 'Jim Roche', 'Martin Gogarty', 'Ronan Leonard', 'Shane Lynch', 'Peter Kirkby', 'Kevin McGahern', 'Lorris Chevalier', 'Mark Atkin', 'Janet Grene', 'Chloe Harris', 'Karl Hogan', 'Tyrone Kearns', 'Brian Manning', 'Brian F. Mulvey', 'Fady Naguib']",3.73,nan,"['History', 'Drama', 'Action']",153,['USA'],English,"['English', 'French', 'Romanian']","King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.","['20th Century Studios', 'Pearl Street Films', 'Scott Free Productions']",340275,77073,87007,392,917,1942,1970,7810,11213,37952,62976,99803,30289,14482,269354,https://letterboxd.com/film/the-last-duel-2021/
Pacifiction,2022,Albert Serra,"['Benoît Magimel', 'Pahoa Mahagafanau', 'Marc Susini', 'Matahi Pambrun', 'Sergi López', 'Montse Triola', 'Michael Vautor', 'Cécile Guilbert', 'Lluís Serrat', 'Mike Landscape', 'Cyrus Arai', 'Mareva Wong', 'Baptiste Pinteaux', 'Laurent Brissonnaud', 'Florence Garneau', 'Práxedes de Vilallonga', 'Jean-Philippe Tahitua', 'Hinatea Boosie', 'Eva Bourgeois', 'Lorenzo Avve', 'Alexandre Melo']",3.62,nan,"['Thriller', 'Drama']",166,"['France', 'French Polynesia', 'Germany', 'Portugal', 'Spain']",French,"['French', 'English', 'Portuguese', 'Tahitian']","Island of Tahiti. French government official De Roller is a calculating man with impeccable manners, capable of dealing with both high society and the locals he frequents in shady joints.","['Andergraun Films', 'Idéale Audience', 'Rosa Filmes', 'ARTE France Cinéma', 'Lupa Film', 'Tamtam Film', 'BR', 'Archipel Production']",22660,10888,6325,216,190,437,333,1046,1074,2386,2788,4254,2297,1746,16551,https://letterboxd.com/film/pacifiction/
Passages,2023,Ira Sachs,"['Franz Rogowski', 'Ben Whishaw', 'Adèle Exarchopoulos', 'Erwan Kepoa Falé', 'Théo Cholbi', 'Arcadi Radeff', 'Léa Boublil', 'Thibault Carterot', 'Tony Daoud', 'Theo Gabilloux', 'Anton Salachas', 'Sarah Lisbonis', 'William Nadylam', 'Caroline Chaniolleau', 'Olivier Rabourdin', 'Jérôme Dauchez', 'François Boisrond', 'Kylian Moison', 'Chloé Granier', 'Juliette Mourlon', 'Malika Bejaoui']",3.49,nan,"['Drama', 'Romance']",92,['France'],French,"['French', 'English']","Tomas and Martin are a gay couple living in Paris whose marriage is thrown into crisis when Tomas impulsively begins a passionate affair with young schoolteacher Agathe. But when Martin begins an affair of his own, Tomas must confront life decisions he may be unprepared—or unwilling—to deal with.","['SBS Productions', 'KNM']",123616,35064,27907,199,436,1059,1130,4903,7144,21797,25391,26647,6106,3817,98430,https://letterboxd.com/film/passages-2023/
Happening,2021,Audrey Diwan,"['Anamaria Vartolomei', 'Kacey Mottet Klein', 'Luàna Bajrami', 'Louise Orry-Diquéro', 'Pio Marmaï', 'Sandrine Bonnaire', 'Cyril Metzger', 'Anna Mouglalis', 'Fabrizio Rongione', 'Julien Frison', 'Alice de Lencquesaing', 'François Loriquet', 'Louise Chevillotte', 'Leonor Oberson', 'Louis Bédot', 'Isabelle Mazin', 'Eric Verdin', 'Édouard Sulpice', 'Leïla Muse', 'Madeleine Baudot', 'Mélodie Adda', 'Caroline Marcos', 'Lucile Beaudouin']",3.97,nan,['Drama'],100,['France'],French,['French'],"France, 1963. Anne is a bright young student with a promising future ahead of her. But when she falls pregnant, she sees the opportunity to finish her studies and escape the constraints of her social background disappearing. With her final exams fast approaching and her belly growing, Anne resolves to act, even if she has to confront shame and pain, even if she must risk prison to do so.","['France 3 Cinéma', 'Rectangle Productions', 'Srab Films', 'Wild Bunch']",57442,20980,15439,166,62,111,93,556,922,4545,9314,18241,6246,4410,44500,https://letterboxd.com/film/happening/
Playground,2021,Laura Wandel,"['Maya Vanderbeque', 'Günter Duret', 'Karim Leklou', 'Laura Verlinden', 'Thao Maerten', 'Lena Girard Voss', 'Simon Caudry', 'James Seguy', 'Naël Ammama', 'Emile Salamone', 'Sandrine Blancke', 'Monia Douieb', 'Sophie Leboutte', 'Kylian Decorne', 'Anne-Pascale Clairembourg', 'Jean-François Ravagnan', 'Marie-Christine Georges']",3.72,nan,['Drama'],72,['Belgium'],French,"['French', 'German', 'English']","When Nora witnesses Abel being bullied by other kids, she rushes to protect him by warning their father. But Abel forces her to remain silent. Caught in a conflict of loyalty, Nora will ultimately try to find her place, torn between children’s and adult’s worlds.","['Dragons Films', 'Lunanime', 'VOO', 'BeTV']",14313,6741,3404,23,25,65,84,275,470,1800,2898,3903,1007,622,11149,https://letterboxd.com/film/playground-2021/
Gladiator II,2024,Ridley Scott,"['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas', 'Alexander Karim', 'Yuval Gonen', 'Richard McCabe', 'Tim McInnerny', 'Alec Utgoff', 'Rory McCann', 'Yann Gael', 'Riana Duce', 'Alfie Tempest', 'Amira Ghazalla', 'Alexander Simkin', 'David Ganly', 'Richard Katz', 'Amal Ayouch', 'Hadrian Howard', 'Chidi Ajufo', 'Lee Charles', 'Christopher Edward Hallaways', 'Chi Lewis-Parry', 'Ángel Gómez De La Torre', 'Brahim Ait Ben Azzouz', 'Maxime Rauf Ruijselaar', 'Dean Fagan', 'Tom Moutchi', 'Russell Crowe', 'May Calamawy']",3.47,nan,"['Action', 'Adventure', 'Drama']",148,['USA'],English,['English'],"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","['Paramount Pictures', 'Red Wagon Entertainment', 'Parkes+MacDonald Image Nation', 'Scott Free Productions']",172879,42040,46490,323,1052,1487,1855,7386,11224,28718,37792,42931,12719,10716,155880,https://letterboxd.com/film/gladiator-ii/
Conclave,2024,Edward Berger,"['Ralph Fiennes', 'Stanley Tucci', 'John Lithgow', 'Isabella Rossellini', 'Lucian Msamati', 'Carlos Diehz', 'Sergio Castellitto', ""Brían F. O'Byrne"", 'Merab Ninidze', 'Jacek Koman', 'Rony Kramer', 'Joseph Mydell', 'Thomas Loibl', 'Loris Loddi', 'Willie Jonah', 'Romuald Kłos', 'Roberto Citran', 'Madhav Sharma', 'Garrick Hagon', 'Vincenzo Failla', 'Bruno Novelli']",3.87,nan,"['Drama', 'Mystery', 'Thriller']",120,"['UK', 'USA']",English,"['English', 'Italian', 'Latin', 'Spanish']","After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.","['FilmNation Entertainment', 'House Productions', 'Indian Paintbrush']",89852,31222,30938,214,81,171,183,828,1676,7332,17099,31722,11921,6269,77282,https://letterboxd.com/film/conclave/
Look Back,2024,Kiyotaka Oshiyama,"['Yuumi Kawai', 'Mizuki Yoshida', 'Yoichiro Saito', 'Kota Oka', 'Kureha Maki', 'Koya Yoshihashi', 'Takeshi Miyajima', 'Daisuke Takahashi', 'Jun Ito', 'Kaori Takeuchi', 'Masumi Taira', 'Rina Endou', 'Taisei Miyagishi', 'Minori Takanami', 'Shinnosuke Tokudome', 'Nanaka Shougaki', 'Haruto Shima', 'Sakura Tsutsumi', 'Seira Ina', 'Toshiyuki Morikawa', 'Maaya Sakamoto']",4.36,nan,"['Drama', 'Animation']",58,['Japan'],Japanese,['Japanese'],"Popular, outgoing Fujino is celebrated by her classmates for her funny comics in the class newspaper. One day, her teacher asks her to share the space with Kyomoto, a truant recluse whose beautiful artwork sparks a competitive fervor in Fujino. What starts as jealousy transforms when Fujino realizes their shared passion for drawing.","['Studio Durian', 'avex pictures', 'Shueisha']",122953,24753,66327,4400,82,161,172,686,1287,5553,10222,27282,21227,41729,108401,https://letterboxd.com/film/look-back-2024/
Public Enemies,2009,Michael Mann,"['Johnny Depp', 'Christian Bale', 'Marion Cotillard', 'Jason Clarke', 'Rory Cochrane', 'Billy Crudup', 'Stephen Dorff', 'Stephen Lang', 'John Ortiz', 'Giovanni Ribisi', 'David Wenham', 'John Michael Bolger', 'Bill Camp', 'Matt Craven', 'Don Frye', 'Christian Stolte', 'Spencer Garrett', 'Peter Gerety', 'Shawn Hatosy', 'Stephen Graham', 'John Hoogenakker', 'Branka Katić', 'Domenick Lombardozzi', 'Emilie de Ravin', 'Leelee Sobieski', 'David Warshofsky', 'Carey Mulligan', 'Channing Tatum', 'John Judd', 'Michael Vieau', 'John Kishline', 'James Russo', 'Wesley Walker', 'John Scherp', 'Elena Kenney', 'William Nero Jr.', 'Madison Dirks', 'Len Bajenski', 'Adam Clark', 'Andrzej Krukowski', 'Casey Siemaszko', 'Peter DeFaria', 'Jonathan Macchi', 'Jeff Shannon', 'Michael Sassone', 'Brian Connelly', 'Ed Bruce', 'Geoffrey Cantor', 'Chandler Williams', 'Robert Brooks Hollingsworth', 'David Paul Innes', 'Joe Carlson', 'Ben Mac Brown', 'Diana Krall', 'Duane Sharp', 'Richard Short', 'Randy Ryan', 'Kurt Naebig', 'Adam Mucci', 'Rebecca Spence', 'Danni Simon', 'Don Harvey', 'Shanyn Leigh', 'Laurence Mason', 'Randy Steinmeyer', 'Kris Wolff', 'Lili Taylor', 'Donald G. Asher', 'Andrew C. Steele', 'Philip M. Potempa', 'Brian McConkey', 'Alan Wilder', 'Michael Bentt', 'John Lister', 'Jim Carrane', 'Joseph Mazurk', 'John Fenner Mays', 'Rick Uecker', 'Craig Spidle', 'Jason T. Arnold', 'Andrew Blair', 'Mark Vallarta', 'Daniel Maldonado', 'Sean A. Rosales', 'Stephen Spencer', 'Patrick Zielinski', 'Gareth Saxe', 'Guy Van Swearingen', 'Jeff Still', 'Lance Baker', 'Steve Key', 'Jerry Goff', 'David Carde', 'Aaron Roman Weiner', 'Keith Kupferer', 'Turk Muller', 'Tim Grimm', 'Martie Sanders', 'Robyn LeAnn Scott', 'Jordan Lawson', 'Angelina Lyubomirova', 'Joel Thingvall']",3.2,nan,"['History', 'Crime', 'Drama']",140,['USA'],English,['English'],"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.","['Universal Pictures', 'Relativity Media', 'Forward Pass', 'Misher Films']",246842,31121,30939,157,619,2097,2659,12489,17172,42132,30156,22605,4197,4530,138656,https://letterboxd.com/film/public-enemies-2009/
Thief,1981,Michael Mann,"['James Caan', 'Tuesday Weld', 'Robert Prosky', 'Willie Nelson', 'Jim Belushi', 'Tom Signorelli', 'Dennis Farina', 'Nick Nickeas', 'W.R. Brown', 'Norm Tobin', 'John Santucci', 'Gavin MacFadyen', 'Chuck Adamson', 'Sam Cirone', 'Spero Anast', 'Walter Scott', 'Sam T. Louis', 'William LaValley', 'Lora Staley', 'Hal Frank', 'Del Close', 'Bruce A. Young', 'John Kapelos', 'Mike Genovese', 'Joan Lazzerini', 'Beverly Somerman', 'Enrico R. Cannataro', 'Mary Louise Wade', 'Donna J. Fenton', 'Thomas Giblin', 'Willie Hayes', 'Conrad Mocarski', 'Benny Turner', 'William Petersen', 'Steve Randolph', 'Nancy Santucci', 'Nathan Davis', 'Thomas O. Erhart Jr.', 'Fredric Stone', 'Robert J. Kuper', 'Joene Hanhardt', 'Marge Kotlisky', 'J. Jay Saunders', 'Susan McCormick', 'Karen Berger', 'Michael Paul Chan', 'Tom Howard', 'Richard Karie', 'Oscar DiLorenzo', 'Patty Ross', 'Margot Charlior']",4.08,nan,"['Thriller', 'Crime', 'Drama']",123,['USA'],English,['English'],"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself complete with a home, wife and kids. To accelerate the process, he signs on with a top gangster for a big score.","['Mann/Caan Productions', 'United Artists']",158123,64472,57881,1700,85,275,309,1465,2520,10707,20082,43312,24522,20193,123470,https://letterboxd.com/film/thief/
