Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Whisper of the Heart,1995,Yoshifumi Kondo,"['Yoko Honna', 'Issey Takahashi', 'Takashi Tachibana', 'Shigeru Muroi', 'Minami Takayama', 'Mayumi Izuka', 'Yorie Yamashita', 'Keiju Kobayashi', 'Naohisa Inoue', 'Shigeru Tsuyuguchi', 'Toshio Suzuki', 'Maiko Kayama', 'Yoshimi Nakajima', 'Mai Chiba', 'Satoru Takahashi', 'Akiko Sakaguchi', 'Hiromi Yasuda', 'Tatsuya Okada', 'Yoshihiro Imai', 'Suguru Egawa', 'Shiro Kishibe', 'Mitsuaki Ogawa']",nan,4.13,https://letterboxd.com//film/whisper-of-the-heart/
From Up on Poppy Hill,2011,Goro Miyazaki,"['Masami Nagasawa', 'Junichi Okada', 'Keiko Takeshita', 'Yuriko Ishida', 'Rumi Hiiragi', 'Jun Fubuki', 'Takashi Naito', 'Shunsuke Kazama', 'Nao Omori', 'Teruyuki Kagawa', 'Haruka Shiraishi', 'Tsubasa Kobayashi', 'Aoi Teshima', 'Goro Miyazaki']",nan,3.68,https://letterboxd.com//film/from-up-on-poppy-hill/
The Secret World of Arrietty,2010,Hiromasa Yonebayashi,"['Mirai Shida', 'Ryunosuke Kamiki', 'Tomokazu Miura', 'Keiko Takeshita', 'Kirin Kiki', 'Shinobu Otake', 'Tatsuya Fujiwara']",nan,3.75,https://letterboxd.com//film/the-secret-world-of-arrietty/
Yi Yi,2000,Edward Yang,"['Wu Nien-Jen', 'Kelly Lee', 'Jonathan Chang', 'Issey Ogata', 'Elaine Jin', 'Hsi-Sheng Chen', 'Su-Yun Ko', 'Tao Chuang Cheng', 'Shu-shen Hsiao', 'Adriene Lin', 'Pang Chang Yu', 'Ru-Yun Tang', 'Shu-Yuan Hsu', 'Hsin-Yi Tseng', 'Yung-Feng Lee', 'Shi-hui Chin', 'Wu Jie', 'Kuo-Chih Shu', 'Leon Dai', 'Mei-Yun Yu', 'Chi-Tung Yu', 'Lawrence Ko', 'Liang-Tso Liu', 'Li-Hua Chen', 'Yi-Wen Chen', 'Shau-Ching Sung', 'Luo Bei An', 'Antonio Lee', 'Danny Deng', 'Ray Fan', 'Chien-Hsiung Cheng', 'Cheng Yuan-Cheng', 'Ju-Yin Tsai', 'Jerry Sun', 'Tzu-chieh Miao', 'Tang Tsung Sheng', 'Wang Chi-tsan', 'Jianchang Li', 'Kenjiro Tsuda', 'Wei-Ning Wu', 'Hui-Ling Chang', 'Hsu Kuei-ying', 'Allen Lu', 'Shih-Ping Yang', 'Tzu-Yen Yeh', 'Cheryl Yang', 'Wan-Yun Lee', 'Hsiao-Wei Lin', 'Yiting Wu', 'Cheng-Kai Wang', 'Nien-Chu Hsieh', 'Shi-Chi Chen', 'Kuang-Ting Hsiang', 'Yen-Chun Lin', 'Hsin-yi Wen', 'An-yi Wen', 'Tzu-Ai Tsai', 'Yao-Wen Liu', 'Wei-Chun Wu', 'Szu-Chia Huang', 'Ming-Min Yeh', 'Yilian He', 'Katherine Lee', 'Tricia Chen', 'Christine Cheng', 'Fiona Chen', 'Cheng-Wan Pieh', 'Kate Yeung', 'Shih-hue Tu', 'Yu-Lung Yin', 'Lien-Lien Hsiao', 'Xianghua Ye', 'Sharon Mao', 'Liang-Hsin Hsieh', 'Mitsu Sudo', 'Kiyotaka Ueno', 'Norihiko Hashimoto', 'Christian Storms', 'Azusa Naito', 'Hui-Hui Chiang', 'Stephanie Michelle Lord', 'Morgan Reynolds', 'Tamara Robertson', 'Song-en Hu', 'Shou-yao Liu', 'Kai-Li Peng', 'Edward Yang']",nan,4.52,https://letterboxd.com//film/yi-yi/
Room,2015,Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen', 'William H. Macy', 'Sean Bridgers', 'Tom McCamus', 'Amanda Brugel', 'Joe Pingue', 'Cas Anvar', 'Wendy Crewson', 'Kate Drummond', 'Randal Edwards', 'Jack Fulton', 'Justin Mader', 'Zarrin Darnell-Martin', 'Jee-Yun Lee', 'Ola Sturik', 'Rodrigo Fernandez-Stoll', ""Rory O'Shea"", 'Matt Gordon', 'Sandy McMaster', 'Chantelle Chung', 'Brad Wietersen', 'Megan Park', 'Graeme Potts', 'Katelyn Wells']",nan,3.98,https://letterboxd.com//film/room-2015/
Boyhood,2014,Richard Linklater,"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke', 'Lorelei Linklater', 'Libby Villari', 'Marco Perella', 'Brad Hawkins', 'Jamie Howard', 'Andrew Villarreal', 'Jenni Tooley', 'Zoe Graham', 'Charlie Sexton', 'Elijah Smith', 'Steven Chester Prince', 'Bonnie Cross', 'Sydney Orta', 'Shane Graham', 'Tess Allen', 'Ryan Power', 'Sharee Fowler', 'Mark Finn', 'Byron Jenkins', 'Holly Moore', 'David Blackwell', 'Barbara Chisholm', 'Matthew Martinez-Arndt', 'Cassidy Johnson', 'Cambell Westmoreland', 'Jennifer Griffin', 'Garry Peters', 'Merrilee McCommas', 'Tamara Jolaine', 'Jordan Howard', 'Andrew Bunten', 'Tyler Strother', 'Evie Thompson', 'Savannah Welch', 'Mika Odom', 'Sinjin Venegas', 'Nick Krause', 'Derek Chase Hickey', 'Angela Rawna', 'Megan Devine', 'Landon Collier', 'Roland Ruiz', 'Richard Andrew Jones', 'Karen Jones', 'Gordon Friday', 'Tom McTigue', 'Sam Dillon', 'Martel Summers', 'David Clark', 'Jessie Tilton', 'Richard Robichaux', 'Will Harris', 'Indica Shaw', 'Bruce Salmon', 'Wayne Sutton', 'Joe Sundell', 'Sean Tracey', 'Ben Hodges', 'Daniel Zeh', 'Chris Doubek', 'Andrea Chen', 'Mona Lee Fultz', 'Maximillian McNamara', 'Taylor Weaver', 'Jessi Mechler', 'Bill Wise', 'Alina Linklater', 'Charlotte Linklater', 'Genevieve Kinney', 'Elijah Ford', 'Kyle Crusham', 'Conrad Choucroun', 'Deanna Brochin', 'Stephen Latham', 'Heather Materne', 'Johnny Walter', 'Natalie Makenna', 'Ken Edwards']",nan,3.82,https://letterboxd.com//film/boyhood/
Nobody Knows,2004,Hirokazu Kore-eda,"['Yuya Yagira', 'Ayu Kitaura', 'Hiei Kimura', 'Momoko Shimizu', 'Hanae Kan', 'YOU', 'Ryo Kase', 'Kazuyoshi Kushida', 'Yukiko Okamoto', 'Sei Hiraizumi', 'Takako Tate', 'Yuichi Kimura', 'Kenichi Endo', 'Susumu Terajima', 'Shinichi Hashizawa']",nan,4.3,https://letterboxd.com//film/nobody-knows/
The Thin Red Line,1998,Terrence Malick,"['Sean Penn', 'Jim Caviezel', 'Adrien Brody', 'Ben Chaplin', 'Elias Koteas', 'John Cusack', 'Woody Harrelson', 'Nick Nolte', 'John C. Reilly', 'George Clooney', 'John Travolta', 'John Dee Smith', 'Dash Mihok', 'Kirk Acevedo', 'Jared Leto', 'Mark Boone Junior', 'Matt Doran', 'Paul Gleeson', 'Don Harvey', 'Arie Verveen', 'Thomas Jane', 'Donal Logue', 'John Savage', 'Nick Stahl', 'Miranda Otto', 'Tim Blake Nelson', 'Larry Romano', 'Penelope Allen', 'Danny Hoch', 'Benjamin Green', 'Simon Billig', 'Jarrod Dean', 'Travis Fine', 'David Harrod', 'Michael McGrady', 'Stephen Spacek', 'Steven Vidler', 'Will Wallace', 'Todd Wallace', 'Simon Westaway', 'Dan Wyllie', 'Randall Craig', 'Kick Gurry', 'Randall Duk Kim', 'Darrin Klimek', 'Dane Moreton', 'Ray Samuelson', 'Justin Ward', 'Felix Williamson']",nan,4.07,https://letterboxd.com//film/the-thin-red-line/
Empire of the Sun,1987,Steven Spielberg,"['Christian Bale', 'John Malkovich', 'Miranda Richardson', 'Nigel Havers', 'Joe Pantoliano', 'Leslie Phillips', 'Masatō Ibu', 'Emily Richard', 'Rupert Frazer', 'Peter Gale', 'Takatarô Kataoka', 'Ben Stiller', 'David Neidorf', 'Ralph Seymour', 'Robert Stephens', 'Zhai Naishe', 'Guts Ishimatsu', 'Emma Piper', 'James Walker', 'Jack Dearlove', 'Anna Turner', 'Ann Castle', 'Yvonne Gilan', 'Ralph Michael', 'Sybil Maas', 'Eric Flynn', 'James Greene', 'Simon Harrison', 'Barrie Houghton', 'Paula Hamilton', 'Thea Ranft', 'Tony Boncza', 'Nigel Leach', 'Sheridan Forbes', 'Peter Copley', 'Barbara Bolton', 'Francesca Longrigg', 'Samantha Warden', 'Burt Kwouk', 'Tom Danaher', 'Paul McGann']",nan,3.79,https://letterboxd.com//film/empire-of-the-sun/
My Neighbors the Yamadas,1999,Isao Takahata,"['Hayato Isohata', 'Masako Araki', 'Naomi Uno', 'Toru Masuoka', 'Yukiji Asaoka', 'Akiko Yano', 'Kosanji Yanagiya', 'Tamao Nakamura', 'Chōchō Miyako']",nan,3.58,https://letterboxd.com//film/my-neighbors-the-yamadas/
